Table,Data
customers,"{""CustomerID"": ""CUST001"", ""Name"": ""Raghav Agarwal"", ""DOB"": ""2005-08-15"", ""Gender"": ""Male"", ""PAN"": ""ABCDE1234F"", ""Aadhar"": 123456789012, ""Address"": ""MPS Campus"", ""City"": ""Ajmer"", ""State"": ""Rajasthan"", ""PIN"": 305001, ""Phone"": 9876543210, ""Email"": ""raghav@email.com"", ""RegistrationDate"": ""2024-01-15"", ""Status"": ""Active"", ""KYC_Status"": ""Verified""}"
customers,"{""CustomerID"": ""CUST002"", ""Name"": ""Manvink Khatri"", ""DOB"": ""2005-06-20"", ""Gender"": ""Male"", ""PAN"": ""FGHIJ5678K"", ""Aadhar"": 234567890123, ""Address"": ""Vaishali Nagar"", ""City"": ""Ajmer"", ""State"": ""Rajasthan"", ""PIN"": 305004, ""Phone"": 9876543211, ""Email"": ""manvink@email.com"", ""RegistrationDate"": ""2024-02-20"", ""Status"": ""Active"", ""KYC_Status"": ""Verified""}"
customers,"{""CustomerID"": ""CUST003"", ""Name"": ""Priya Sharma"", ""DOB"": ""1998-03-12"", ""Gender"": ""Female"", ""PAN"": ""KLMNO9012P"", ""Aadhar"": 345678901234, ""Address"": ""Civil Lines"", ""City"": ""Ajmer"", ""State"": ""Rajasthan"", ""PIN"": 305001, ""Phone"": 9876543212, ""Email"": ""priya@email.com"", ""RegistrationDate"": ""2024-03-10"", ""Status"": ""Active"", ""KYC_Status"": ""Verified""}"
customers,"{""CustomerID"": ""CUST004"", ""Name"": ""Amit Kumar"", ""DOB"": ""1995-11-25"", ""Gender"": ""Male"", ""PAN"": ""PQRST3456U"", ""Aadhar"": 456789012345, ""Address"": ""Pushkar Road"", ""City"": ""Ajmer"", ""State"": ""Rajasthan"", ""PIN"": 305002, ""Phone"": 9876543213, ""Email"": ""amit@email.com"", ""RegistrationDate"": ""2024-04-05"", ""Status"": ""Active"", ""KYC_Status"": ""Pending""}"
customers,"{""CustomerID"": ""CUST005"", ""Name"": ""Sneha Gupta"", ""DOB"": ""2000-07-18"", ""Gender"": ""Female"", ""PAN"": ""UVWXY7890Z"", ""Aadhar"": 567890123456, ""Address"": ""Nasirabad"", ""City"": ""Ajmer"", ""State"": ""Rajasthan"", ""PIN"": 305601, ""Phone"": 9876543214, ""Email"": ""sneha@email.com"", ""RegistrationDate"": ""2024-05-12"", ""Status"": ""Inactive"", ""KYC_Status"": ""Verified""}"
customers,"{""CustomerID"": ""CUST006"", ""Name"": ""Raghav"", ""DOB"": ""2008-09-04"", ""Gender"": ""Male"", ""PAN"": ""GFMPA2733F"", ""Aadhar"": ""257022669482"", ""Address"": ""Hanuman Gali, Badi Basti, Pushkar"", ""City"": ""Ajmer"", ""State"": ""Rajasthan"", ""PIN"": ""305022"", ""Phone"": ""9664331774"", ""Email"": ""futurist.raghav@gmail.com"", ""RegistrationDate"": ""2025-12-13"", ""Status"": ""Active"", ""KYC_Status"": ""Pending""}"
accounts,"{""AccountNumber"": ""ACC1001"", ""CustomerID"": ""CUST001"", ""AccountType"": ""Savings"", ""Balance"": 25000.0, ""MinBalance"": 1000, ""InterestRate"": 4.0, ""OpeningDate"": ""2024-01-15"", ""MaturityDate"": null, ""Status"": ""Active"", ""LastInterestCredited"": ""2024-12-01""}"
accounts,"{""AccountNumber"": ""ACC1002"", ""CustomerID"": ""CUST001"", ""AccountType"": ""Current"", ""Balance"": 50000.0, ""MinBalance"": 5000, ""InterestRate"": 0.0, ""OpeningDate"": ""2024-02-01"", ""MaturityDate"": null, ""Status"": ""Active"", ""LastInterestCredited"": null}"
accounts,"{""AccountNumber"": ""ACC1003"", ""CustomerID"": ""CUST002"", ""AccountType"": ""Savings"", ""Balance"": 15000.0, ""MinBalance"": 1000, ""InterestRate"": 4.0, ""OpeningDate"": ""2024-02-20"", ""MaturityDate"": null, ""Status"": ""Active"", ""LastInterestCredited"": ""2024-12-01""}"
accounts,"{""AccountNumber"": ""ACC1004"", ""CustomerID"": ""CUST003"", ""AccountType"": ""Fixed Deposit"", ""Balance"": 100000.0, ""MinBalance"": 0, ""InterestRate"": 7.5, ""OpeningDate"": ""2024-03-10"", ""MaturityDate"": ""2025-03-10"", ""Status"": ""Active"", ""LastInterestCredited"": null}"
accounts,"{""AccountNumber"": ""ACC1005"", ""CustomerID"": ""CUST003"", ""AccountType"": ""Savings"", ""Balance"": 45000.0, ""MinBalance"": 1000, ""InterestRate"": 4.0, ""OpeningDate"": ""2024-03-10"", ""MaturityDate"": null, ""Status"": ""Active"", ""LastInterestCredited"": ""2024-12-01""}"
accounts,"{""AccountNumber"": ""ACC1006"", ""CustomerID"": ""CUST004"", ""AccountType"": ""Savings"", ""Balance"": 8000.0, ""MinBalance"": 1000, ""InterestRate"": 4.0, ""OpeningDate"": ""2024-04-05"", ""MaturityDate"": null, ""Status"": ""Active"", ""LastInterestCredited"": ""2024-12-01""}"
accounts,"{""AccountNumber"": ""ACC1007"", ""CustomerID"": ""CUST005"", ""AccountType"": ""Recurring Deposit"", ""Balance"": 12000.0, ""MinBalance"": 0, ""InterestRate"": 5.5, ""OpeningDate"": ""2024-05-12"", ""MaturityDate"": ""2025-05-12"", ""Status"": ""Active"", ""LastInterestCredited"": null}"
accounts,"{""AccountNumber"": ""ACC1008"", ""CustomerID"": ""CUST006"", ""AccountType"": ""Fixed Deposit"", ""Balance"": 6000000.0, ""MinBalance"": 0, ""InterestRate"": 7.5, ""OpeningDate"": ""2025-12-13"", ""MaturityDate"": """", ""Status"": ""Active"", ""LastInterestCredited"": ""2025-12-13""}"
transactions,"{""TransactionID"": ""TXN00001"", ""AccountNumber"": ""ACC1001"", ""TransactionType"": ""Cash Deposit"", ""Amount"": 10000.0, ""DebitCredit"": ""Credit"", ""Balance_After"": 25000.0, ""Date"": ""2024-12-01"", ""Time"": ""10:30:00"", ""Remarks"": ""Initial deposit"", ""Status"": ""Success""}"
transactions,"{""TransactionID"": ""TXN00002"", ""AccountNumber"": ""ACC1001"", ""TransactionType"": ""Cash Withdrawal"", ""Amount"": 5000.0, ""DebitCredit"": ""Debit"", ""Balance_After"": 20000.0, ""Date"": ""2024-12-02"", ""Time"": ""14:15:00"", ""Remarks"": ""ATM withdrawal"", ""Status"": ""Success""}"
transactions,"{""TransactionID"": ""TXN00003"", ""AccountNumber"": ""ACC1002"", ""TransactionType"": ""Cash Deposit"", ""Amount"": 50000.0, ""DebitCredit"": ""Credit"", ""Balance_After"": 50000.0, ""Date"": ""2024-12-01"", ""Time"": ""11:00:00"", ""Remarks"": ""Opening balance"", ""Status"": ""Success""}"
transactions,"{""TransactionID"": ""TXN00004"", ""AccountNumber"": ""ACC1003"", ""TransactionType"": ""Cash Deposit"", ""Amount"": 15000.0, ""DebitCredit"": ""Credit"", ""Balance_After"": 15000.0, ""Date"": ""2024-12-01"", ""Time"": ""12:30:00"", ""Remarks"": ""Salary credit"", ""Status"": ""Success""}"
transactions,"{""TransactionID"": ""TXN00005"", ""AccountNumber"": ""ACC1005"", ""TransactionType"": ""Fund Transfer"", ""Amount"": 2000.0, ""DebitCredit"": ""Debit"", ""Balance_After"": 43000.0, ""Date"": ""2024-12-05"", ""Time"": ""16:45:00"", ""Remarks"": ""Transfer to ACC1001"", ""Status"": ""Success""}"
transactions,"{""TransactionID"": ""TXN00006"", ""AccountNumber"": ""ACC1001"", ""TransactionType"": ""Fund Transfer"", ""Amount"": 2000.0, ""DebitCredit"": ""Credit"", ""Balance_After"": 22000.0, ""Date"": ""2024-12-05"", ""Time"": ""16:45:00"", ""Remarks"": ""Received from ACC1005"", ""Status"": ""Success""}"
transactions,"{""TransactionID"": ""TXN00007"", ""AccountNumber"": ""ACC1001"", ""TransactionType"": ""Bill Payment"", ""Amount"": 3000.0, ""DebitCredit"": ""Debit"", ""Balance_After"": 22000.0, ""Date"": ""2024-12-08"", ""Time"": ""09:20:00"", ""Remarks"": ""Electricity bill"", ""Status"": ""Success""}"
transactions,"{""TransactionID"": ""TXN00008"", ""AccountNumber"": ""ACC1001"", ""TransactionType"": ""Interest Credit"", ""Amount"": 100.0, ""DebitCredit"": ""Credit"", ""Balance_After"": 25000.0, ""Date"": ""2024-12-01"", ""Time"": ""00:01:00"", ""Remarks"": ""Monthly interest"", ""Status"": ""Success""}"
transactions,"{""TransactionID"": ""TXN00009"", ""AccountNumber"": ""ACC1008"", ""TransactionType"": ""Account Opening"", ""Amount"": 6000000.0, ""DebitCredit"": ""Credit"", ""Balance_After"": 6000000.0, ""Date"": ""2025-12-13"", ""Time"": ""22:44:03"", ""Remarks"": ""Initial Deposit"", ""Status"": ""Success""}"
transfers,"{""TransferID"": ""TRF0001"", ""FromAccount"": ""ACC1005"", ""ToAccount"": ""ACC1001"", ""Amount"": 2000.0, ""TransferType"": ""Internal"", ""Charges"": 0.0, ""Date"": ""2024-12-05"", ""Status"": ""Success"", ""Reference"": ""REF2024120501""}"
